Member_number,Date,itemDescription
2349,2015-02-26,sausage
1463,2015-12-24,sausage
3470,2015-02-19,root vegetables
4914,2015-11-29,whole milk
2448,2015-08-31,frankfurter
3387,2015-05-10,soda
3167,2015-11-04,soda
3175,2015-03-17,frankfurter
2678,2015-09-21,berries
4627,2015-12-18,canned beer
1773,2015-10-17,frankfurter
3100,2015-05-23,frankfurter
3232,2015-05-29,berries
3673,2015-08-12,frankfurter
4068,2015-11-19,newspapers
2340,2015-10-07,frozen fish
1930,2015-03-01,tropical fruit
3526,2015-06-02,beef
1617,2015-02-10,rolls/buns
1028,2015-07-11,specialty chocolate
4440,2015-12-01,sparkling wine
3554,2015-07-23,citrus fruit
1632,2015-12-15,onions
1429,2015-02-07,whole milk
1225,2015-05-20,photo/film
2509,2015-07-15,hamburger meat
4945,2015-08-02,other vegetables
4342,2015-03-18,whole milk
1832,2015-09-28,pork
1518,2015-06-21,tropical fruit
1512,2015-09-20,chicken
4818,2015-03-20,other vegetables
4686,2015-08-19,sausage
4986,2015-02-01,whole milk
2755,2015-02-06,rolls/buns
4532,2015-11-29,hygiene articles
2070,2015-08-16,ice cream
1894,2015-05-09,curd
3473,2015-01-25,whole milk
2140,2015-09-28,onions
3286,2015-12-23,finished products
4729,2015-04-08,salt
3204,2015-02-20,tropical fruit
1574,2015-04-18,other vegetables
3361,2015-07-22,chocolate
1776,2015-02-25,ice cream
2009,2015-10-11,tropical fruit
3479,2015-03-24,frankfurter
2394,2015-11-22,butter
1337,2015-12-25,other vegetables
3574,2015-06-13,tropical fruit
1727,2015-07-18,citrus fruit
1016,2015-10-05,UHT-milk
4326,2015-01-21,beef
2212,2015-09-22,curd
1990,2015-08-01,citrus fruit
3836,2015-12-06,yogurt
4560,2015-07-01,bottled beer
1119,2015-02-04,grapes
1379,2015-05-18,pork
1658,2015-09-03,sausage
2948,2015-06-16,frankfurter
1273,2015-05-04,artif. sweetener
1155,2015-12-27,frankfurter
1672,2015-02-05,pip fruit
3841,2015-04-02,frankfurter
1683,2015-08-20,whole milk
1774,2015-08-07,domestic eggs
4441,2015-06-17,packaged fruit/vegetables
1929,2015-05-02,chicken
1273,2015-01-31,pork
2920,2015-10-11,citrus fruit
2467,2015-04-18,light bulbs
2678,2015-11-28,cream cheese 
3423,2015-06-02,sausage
4223,2015-07-19,citrus fruit
2846,2015-09-23,other vegetables
4103,2015-07-26,chicken
4789,2015-05-02,ice cream
4916,2015-02-26,pork
2518,2015-05-03,pork
2622,2015-03-07,onions
